Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
Brazil,2019,Ransomware,Banking,10.1,47737.0,Unknown,Social Engineering,Encryption,69.0
Brazil,2018,Man-In-The-Middle,It,47.01,940513.0,Unknown,Unpatched Software,Encryption,10.0
Russia,2021,Man-In-The-Middle,Banking,18.66,292992.0,Insider,Zero-Day,Encryption,36.0
Germany,2024,Malware,Telecommunications,79.72,639779.0,Nation-State,Zero-Day,Antivirus,6.0
Australia,2019,Ddos,Banking,29.85,949862.0,Hacker Group,Weak Passwords,Firewall,25.0
Usa,2021,Phishing,Healthcare,0.92,260396.0,Hacker Group,Zero-Day,Antivirus,16.0
Australia,2024,Phishing,It,92.48,215376.0,Nation-State,Social Engineering,Firewall,18.0
France,2016,Ddos,Telecommunications,20.09,689397.0,Insider,Social Engineering,Ai-Based Detection,68.0
Brazil,2016,Sql Injection,Education,16.24,238092.0,Nation-State,Zero-Day,Ai-Based Detection,32.0
India,2019,Phishing,Banking,18.42,289539.0,Nation-State,Unpatched Software,Antivirus,27.0
Russia,2020,Ddos,Healthcare,49.02,382327.0,Insider,Zero-Day,Vpn,30.0
Australia,2018,Phishing,Government,12.43,605810.0,Unknown,Zero-Day,Firewall,41.0
Australia,2019,Ddos,Banking,1.27,588345.0,Insider,Unpatched Software,Firewall,49.0
Uk,2019,Phishing,Government,21.58,831367.0,Insider,Social Engineering,Antivirus,55.0
Brazil,2019,Man-In-The-Middle,Banking,14.64,880671.0,Hacker Group,Social Engineering,Firewall,66.0
France,2023,Ddos,Retail,92.32,418211.0,Insider,Unpatched Software,Encryption,39.0
France,2022,Man-In-The-Middle,Banking,31.4,264380.0,Insider,Zero-Day,Vpn,37.0
Brazil,2017,Phishing,Banking,9.25,437974.0,Hacker Group,Zero-Day,Encryption,20.0
India,2021,Phishing,Banking,37.1,713949.0,Hacker Group,Unpatched Software,Antivirus,71.0
Usa,2022,Sql Injection,It,8.5,523164.0,Hacker Group,Weak Passwords,Ai-Based Detection,30.0
Uk,2015,Ddos,Telecommunications,85.23,193852.0,Insider,Zero-Day,Vpn,54.0
Uk,2024,Ddos,Retail,14.09,655640.0,Nation-State,Zero-Day,Firewall,61.0
France,2021,Phishing,It,76.02,573328.0,Insider,Zero-Day,Ai-Based Detection,36.0
Uk,2019,Malware,Government,46.27,798717.0,Hacker Group,Social Engineering,Encryption,10.0
Brazil,2019,Ddos,Telecommunications,50.99,899413.0,Nation-State,Weak Passwords,Encryption,11.0
France,2017,Sql Injection,Banking,18.75,436009.0,Nation-State,Zero-Day,Ai-Based Detection,44.0
Uk,2020,Sql Injection,Retail,56.3,142291.0,Nation-State,Weak Passwords,Vpn,29.0
Germany,2019,Man-In-The-Middle,Government,64.8,276197.0,Unknown,Zero-Day,Firewall,2.0
Russia,2020,Ransomware,It,33.61,807918.0,Unknown,Social Engineering,Antivirus,37.0
France,2021,Phishing,Telecommunications,90.99,483484.0,Hacker Group,Unpatched Software,Vpn,2.0
Russia,2015,Ransomware,It,41.79,7290.0,Insider,Weak Passwords,Ai-Based Detection,32.0
India,2022,Ddos,It,38.69,333967.0,Insider,Zero-Day,Firewall,36.0
China,2020,Man-In-The-Middle,Education,84.4,840118.0,Hacker Group,Zero-Day,Encryption,58.0
Usa,2024,Malware,Healthcare,69.46,187312.0,Nation-State,Zero-Day,Vpn,58.0
Brazil,2024,Ddos,It,34.46,470727.0,Unknown,Weak Passwords,Firewall,36.0
India,2023,Malware,Education,95.97,629490.0,Hacker Group,Zero-Day,Vpn,38.0
France,2021,Sql Injection,Government,98.76,904598.0,Hacker Group,Social Engineering,Ai-Based Detection,11.0
Usa,2017,Ransomware,Education,12.59,820632.0,Unknown,Social Engineering,Ai-Based Detection,65.0
Japan,2019,Ddos,Retail,78.78,214152.0,Insider,Weak Passwords,Firewall,7.0
Australia,2024,Ddos,Banking,21.11,18766.0,Insider,Weak Passwords,Firewall,43.0
France,2020,Malware,Banking,50.19,760230.0,Nation-State,Zero-Day,Vpn,56.0
India,2021,Ransomware,Healthcare,76.83,603402.0,Insider,Zero-Day,Ai-Based Detection,57.0
France,2020,Man-In-The-Middle,Healthcare,17.49,693907.0,Hacker Group,Zero-Day,Ai-Based Detection,54.0
Brazil,2017,Sql Injection,Banking,66.78,698892.0,Unknown,Zero-Day,Ai-Based Detection,24.0
Uk,2015,Phishing,It,24.17,64082.0,Unknown,Social Engineering,Antivirus,16.0
Usa,2022,Ransomware,It,38.84,687052.0,Nation-State,Unpatched Software,Encryption,34.0
Russia,2018,Phishing,Government,14.98,417488.0,Hacker Group,Weak Passwords,Encryption,23.0
Germany,2020,Phishing,Telecommunications,15.14,970038.0,Nation-State,Zero-Day,Firewall,47.0
Japan,2016,Sql Injection,Government,10.4,240441.0,Unknown,Zero-Day,Antivirus,17.0
India,2020,Man-In-The-Middle,Banking,59.67,747418.0,Insider,Unpatched Software,Vpn,20.0
Japan,2019,Malware,Retail,36.66,977185.0,Insider,Social Engineering,Antivirus,71.0
India,2019,Malware,Retail,58.98,505132.5,Unknown,Zero-Day,Firewall,20.0
Germany,2022,Ransomware,Retail,19.47,496271.0,Hacker Group,Unpatched Software,Ai-Based Detection,20.0
France,2015,Phishing,Banking,64.62,104619.0,Insider,Unpatched Software,Antivirus,36.0
Russia,2024,Ransomware,Healthcare,98.25,877571.0,Insider,Weak Passwords,Antivirus,19.0
Japan,2020,Ransomware,Healthcare,41.88,93314.0,Hacker Group,Unpatched Software,Vpn,24.0
Brazil,2020,Ddos,Government,13.22,790415.0,Hacker Group,Zero-Day,Encryption,52.0
Germany,2020,Ransomware,It,54.65,107180.0,Nation-State,Zero-Day,Antivirus,68.0
Japan,2018,Phishing,It,72.01,401960.0,Nation-State,Unpatched Software,Vpn,44.0
Usa,2020,Ransomware,Telecommunications,93.89,602474.0,Unknown,Social Engineering,Vpn,71.0
Australia,2024,Phishing,Education,18.64,701144.0,Hacker Group,Unpatched Software,Antivirus,41.0
Uk,2024,Malware,Education,64.05,116714.0,Insider,Social Engineering,Encryption,37.0
France,2016,Man-In-The-Middle,It,41.79,453408.0,Nation-State,Social Engineering,Vpn,8.0
Uk,2022,Phishing,Retail,13.37,40843.0,Unknown,Weak Passwords,Encryption,66.0
Australia,2015,Man-In-The-Middle,Healthcare,1.62,336650.0,Hacker Group,Zero-Day,Vpn,35.0
China,2017,Phishing,Healthcare,92.64,911233.0,Unknown,Weak Passwords,Antivirus,18.0
Brazil,2023,Ransomware,Telecommunications,32.18,812908.0,Hacker Group,Zero-Day,Antivirus,12.0
China,2019,Sql Injection,Education,64.26,796878.0,Nation-State,Zero-Day,Antivirus,26.0
Japan,2023,Man-In-The-Middle,Government,81.57,738014.0,Unknown,Social Engineering,Antivirus,24.0
Usa,2021,Ddos,Education,87.32,315915.0,Nation-State,Social Engineering,Antivirus,36.0
China,2022,Ransomware,Education,70.44,164734.0,Nation-State,Unpatched Software,Firewall,7.0
India,2024,Man-In-The-Middle,It,1.75,617939.0,Unknown,Zero-Day,Firewall,22.0
Germany,2021,Phishing,Healthcare,96.81,374164.0,Hacker Group,Weak Passwords,Antivirus,53.0
Usa,2020,Phishing,Banking,74.51,332766.0,Hacker Group,Weak Passwords,Antivirus,53.0
Brazil,2018,Phishing,Healthcare,2.52,414899.0,Unknown,Weak Passwords,Encryption,37.0
Brazil,2017,Ddos,Retail,81.63,140371.0,Hacker Group,Zero-Day,Encryption,13.0
Australia,2019,Ransomware,Banking,43.53,729109.0,Insider,Weak Passwords,Vpn,22.0
Uk,2020,Ddos,Education,84.28,776200.0,Unknown,Weak Passwords,Encryption,49.0
Russia,2019,Phishing,Healthcare,17.6,839921.0,Unknown,Zero-Day,Antivirus,5.0
France,2019,Malware,Education,50.99,312314.0,Unknown,Social Engineering,Ai-Based Detection,35.0
Australia,2024,Man-In-The-Middle,Healthcare,65.72,299613.0,Hacker Group,Zero-Day,Firewall,20.0
India,2016,Phishing,Banking,43.81,250482.0,Insider,Weak Passwords,Vpn,20.0
Brazil,2021,Ddos,Banking,84.41,230110.0,Unknown,Social Engineering,Antivirus,51.0
Australia,2015,Sql Injection,Retail,55.78,852650.0,Nation-State,Social Engineering,Ai-Based Detection,50.0
Germany,2024,Ddos,Telecommunications,67.47,337890.0,Unknown,Weak Passwords,Antivirus,35.0
Japan,2016,Malware,Education,8.08,557108.0,Nation-State,Zero-Day,Firewall,17.0
Australia,2022,Ddos,Telecommunications,46.2,505132.5,Insider,Zero-Day,Antivirus,46.0
China,2022,Phishing,Banking,72.06,459296.0,Nation-State,Weak Passwords,Ai-Based Detection,13.0
India,2019,Ransomware,Telecommunications,90.48,46972.0,Nation-State,Social Engineering,Antivirus,23.0
Uk,2022,Malware,Healthcare,21.26,602041.0,Hacker Group,Unpatched Software,Ai-Based Detection,25.0
Japan,2016,Phishing,Banking,82.93,36797.0,Insider,Zero-Day,Vpn,2.0
China,2021,Sql Injection,Healthcare,23.15,730762.0,Insider,Social Engineering,Vpn,19.0
Russia,2016,Malware,Government,66.19,91194.0,Hacker Group,Unpatched Software,Encryption,72.0
India,2015,Sql Injection,Banking,95.81,42883.0,Unknown,Zero-Day,Encryption,36.0
Uk,2024,Sql Injection,Retail,48.33,422592.0,Unknown,Unpatched Software,Vpn,37.0
India,2022,Man-In-The-Middle,Healthcare,29.54,837320.0,Unknown,Social Engineering,Vpn,14.0
Usa,2020,Phishing,Banking,44.08,708034.0,Unknown,Zero-Day,Ai-Based Detection,39.0
Japan,2024,Phishing,It,91.71,47841.0,Hacker Group,Weak Passwords,Antivirus,23.0
Japan,2015,Sql Injection,Banking,73.94,274703.0,Nation-State,Social Engineering,Encryption,6.0
Australia,2021,Malware,Healthcare,10.35,776819.0,Insider,Unpatched Software,Vpn,64.0
Germany,2019,Man-In-The-Middle,It,89.6,544648.0,Unknown,Weak Passwords,Antivirus,47.0
China,2024,Man-In-The-Middle,Government,11.99,735203.0,Unknown,Zero-Day,Vpn,66.0
India,2018,Sql Injection,Banking,77.02,424342.0,Unknown,Social Engineering,Antivirus,57.0
Russia,2018,Malware,Retail,78.82,155353.0,Unknown,Weak Passwords,Vpn,67.0
Germany,2020,Ddos,Banking,64.64,735855.0,Insider,Unpatched Software,Firewall,23.0
France,2016,Man-In-The-Middle,It,11.91,765453.0,Unknown,Social Engineering,Antivirus,39.0
Japan,2024,Sql Injection,Education,82.52,788243.0,Insider,Social Engineering,Vpn,38.0
Germany,2017,Phishing,Banking,69.85,253058.0,Hacker Group,Social Engineering,Encryption,44.0
Australia,2022,Phishing,Healthcare,80.11,537530.0,Nation-State,Zero-Day,Encryption,14.0
China,2022,Sql Injection,Banking,2.46,95779.0,Unknown,Zero-Day,Vpn,43.0
France,2024,Phishing,Healthcare,59.79,906160.0,Unknown,Zero-Day,Vpn,48.0
Russia,2019,Ransomware,Education,11.06,490910.0,Insider,Zero-Day,Ai-Based Detection,58.0
Uk,2020,Sql Injection,Banking,73.69,522097.0,Hacker Group,Weak Passwords,Vpn,63.0
Germany,2016,Man-In-The-Middle,Banking,53.57,218143.0,Nation-State,Unpatched Software,Encryption,27.0
Germany,2018,Malware,It,30.2,667023.0,Unknown,Zero-Day,Antivirus,26.0
Australia,2023,Malware,Education,67.23,362308.0,Unknown,Social Engineering,Antivirus,5.0
Russia,2022,Ddos,It,86.81,717258.0,Insider,Zero-Day,Firewall,16.0
Brazil,2018,Man-In-The-Middle,Retail,76.39,984.0,Insider,Zero-Day,Firewall,56.0
Russia,2023,Ddos,Telecommunications,96.61,956064.0,Insider,Weak Passwords,Antivirus,45.0
Australia,2024,Malware,Retail,64.3,891367.0,Nation-State,Social Engineering,Firewall,21.0
China,2019,Man-In-The-Middle,It,79.33,842637.0,Nation-State,Unpatched Software,Ai-Based Detection,55.0
Usa,2015,Ddos,It,45.91,772018.0,Hacker Group,Weak Passwords,Encryption,46.0
Australia,2022,Malware,It,41.67,945897.0,Insider,Zero-Day,Firewall,66.0
Germany,2018,Sql Injection,Banking,81.33,508544.0,Insider,Unpatched Software,Vpn,45.0
Australia,2021,Ransomware,Banking,91.8,125309.0,Unknown,Social Engineering,Antivirus,13.0
Uk,2024,Man-In-The-Middle,It,3.69,529410.0,Insider,Zero-Day,Firewall,59.0
Australia,2018,Phishing,Education,24.25,665381.0,Insider,Unpatched Software,Ai-Based Detection,61.0
Japan,2019,Man-In-The-Middle,Telecommunications,89.5,163110.0,Nation-State,Zero-Day,Encryption,35.0
Russia,2019,Ransomware,It,60.24,354784.0,Hacker Group,Social Engineering,Ai-Based Detection,36.0
Germany,2022,Ransomware,Education,7.65,643306.0,Hacker Group,Zero-Day,Encryption,50.0
Australia,2016,Malware,Telecommunications,44.93,23249.0,Insider,Social Engineering,Firewall,1.0
Usa,2015,Sql Injection,Retail,26.98,763017.0,Insider,Social Engineering,Antivirus,24.0
Russia,2015,Ransomware,Retail,84.08,71334.0,Unknown,Unpatched Software,Ai-Based Detection,26.0
Australia,2019,Sql Injection,Government,99.2,605470.0,Nation-State,Unpatched Software,Encryption,18.0
India,2023,Sql Injection,Government,40.63,356387.0,Nation-State,Zero-Day,Antivirus,11.0
China,2023,Malware,It,11.89,260907.0,Insider,Weak Passwords,Ai-Based Detection,31.0
Japan,2019,Man-In-The-Middle,It,73.71,560693.0,Hacker Group,Weak Passwords,Firewall,1.0
Brazil,2015,Phishing,It,16.44,82841.0,Insider,Social Engineering,Encryption,36.0
Russia,2021,Malware,Government,51.05,262500.0,Nation-State,Social Engineering,Ai-Based Detection,27.0
Uk,2023,Malware,It,49.13,116201.0,Nation-State,Zero-Day,Firewall,14.0
China,2016,Phishing,It,17.06,505132.5,Unknown,Weak Passwords,Vpn,67.0
France,2017,Ransomware,It,93.15,372975.0,Hacker Group,Weak Passwords,Firewall,64.0
France,2018,Ddos,Government,66.4,613192.0,Insider,Weak Passwords,Vpn,50.0
India,2017,Sql Injection,Government,20.21,421023.0,Insider,Unpatched Software,Encryption,36.0
India,2015,Ransomware,Healthcare,1.48,818172.0,Unknown,Social Engineering,Vpn,30.0
Russia,2018,Ransomware,Education,22.77,828880.0,Hacker Group,Unpatched Software,Antivirus,69.0
Germany,2017,Man-In-The-Middle,Government,56.15,487668.0,Hacker Group,Zero-Day,Ai-Based Detection,72.0
France,2020,Ransomware,Telecommunications,10.52,253094.0,Hacker Group,Unpatched Software,Vpn,19.0
China,2015,Sql Injection,Telecommunications,34.84,712886.0,Hacker Group,Weak Passwords,Antivirus,7.0
China,2019,Phishing,It,5.05,65176.0,Unknown,Weak Passwords,Encryption,49.0
Germany,2020,Sql Injection,It,54.59,248356.0,Nation-State,Weak Passwords,Ai-Based Detection,25.0
China,2020,Ddos,Education,52.36,499615.0,Hacker Group,Unpatched Software,Antivirus,19.0
Russia,2016,Man-In-The-Middle,Telecommunications,10.2,446917.0,Unknown,Unpatched Software,Firewall,36.0
Usa,2023,Sql Injection,Banking,77.96,164892.0,Insider,Weak Passwords,Firewall,63.0
Uk,2022,Sql Injection,Banking,61.97,627852.0,Nation-State,Unpatched Software,Vpn,23.0
Uk,2016,Ddos,Banking,61.15,219846.0,Insider,Zero-Day,Ai-Based Detection,13.0
Australia,2024,Malware,Education,83.04,862049.0,Insider,Unpatched Software,Antivirus,43.0
Usa,2015,Man-In-The-Middle,Education,50.99,505132.5,Nation-State,Zero-Day,Encryption,28.0
India,2022,Malware,Government,27.09,979810.0,Insider,Weak Passwords,Vpn,34.0
Germany,2015,Sql Injection,Government,0.72,944106.0,Insider,Unpatched Software,Vpn,2.0
Russia,2023,Phishing,Banking,9.24,612761.0,Unknown,Unpatched Software,Encryption,71.0
Australia,2018,Malware,Telecommunications,8.69,813960.0,Hacker Group,Weak Passwords,Vpn,6.0
Germany,2021,Ddos,Healthcare,32.07,510895.0,Unknown,Weak Passwords,Antivirus,6.0
India,2023,Malware,Healthcare,71.94,652957.0,Insider,Weak Passwords,Encryption,65.0
Japan,2022,Ransomware,It,84.09,991854.0,Unknown,Unpatched Software,Vpn,11.0
India,2018,Ransomware,Retail,56.06,382041.0,Unknown,Weak Passwords,Encryption,4.0
Usa,2015,Man-In-The-Middle,Government,47.76,428556.0,Unknown,Weak Passwords,Antivirus,15.0
Uk,2019,Sql Injection,Banking,79.34,455556.0,Insider,Social Engineering,Firewall,1.0
Australia,2022,Ransomware,Healthcare,17.58,18399.0,Unknown,Zero-Day,Firewall,14.0
Germany,2016,Man-In-The-Middle,Government,97.79,984519.0,Nation-State,Zero-Day,Firewall,57.0
Brazil,2021,Ddos,Retail,75.1,740795.0,Hacker Group,Unpatched Software,Firewall,12.0
Uk,2019,Sql Injection,Telecommunications,50.99,483585.0,Unknown,Unpatched Software,Encryption,13.0
Brazil,2021,Ransomware,Healthcare,78.08,989151.0,Unknown,Social Engineering,Ai-Based Detection,2.0
Germany,2016,Sql Injection,Government,63.89,946613.0,Insider,Social Engineering,Ai-Based Detection,21.0
Australia,2021,Ransomware,Banking,24.33,77845.0,Insider,Social Engineering,Ai-Based Detection,26.0
India,2020,Phishing,It,50.99,403494.0,Hacker Group,Social Engineering,Firewall,3.0
Germany,2018,Man-In-The-Middle,Banking,23.32,524693.0,Unknown,Unpatched Software,Vpn,63.0
Uk,2016,Phishing,Education,9.84,628589.0,Unknown,Unpatched Software,Encryption,8.0
Australia,2018,Man-In-The-Middle,Healthcare,34.29,943349.0,Nation-State,Zero-Day,Antivirus,5.0
Brazil,2018,Ddos,Retail,50.99,100633.0,Insider,Zero-Day,Encryption,53.0
France,2017,Phishing,Government,59.64,551515.0,Unknown,Zero-Day,Ai-Based Detection,37.0
Germany,2023,Man-In-The-Middle,Banking,80.97,289046.0,Nation-State,Zero-Day,Encryption,41.0
Australia,2021,Malware,Retail,22.48,70067.0,Insider,Weak Passwords,Vpn,22.0
France,2022,Phishing,Banking,69.99,366596.0,Insider,Weak Passwords,Ai-Based Detection,65.0
Japan,2021,Sql Injection,It,51.24,452476.0,Nation-State,Zero-Day,Vpn,41.0
Japan,2020,Sql Injection,Banking,70.14,575065.0,Insider,Weak Passwords,Encryption,61.0
Japan,2024,Man-In-The-Middle,Education,68.35,474131.0,Insider,Unpatched Software,Firewall,41.0
Usa,2016,Phishing,Education,86.3,702702.0,Hacker Group,Zero-Day,Encryption,14.0
Australia,2023,Ddos,Government,97.18,692900.0,Unknown,Social Engineering,Encryption,72.0
Brazil,2021,Sql Injection,It,92.4,654303.0,Hacker Group,Unpatched Software,Ai-Based Detection,15.0
Russia,2022,Ransomware,Banking,50.11,851222.0,Insider,Weak Passwords,Encryption,16.0
Australia,2016,Man-In-The-Middle,Government,35.59,505132.5,Insider,Social Engineering,Vpn,6.0
Usa,2022,Ddos,Healthcare,56.89,388698.0,Nation-State,Social Engineering,Vpn,35.0
Australia,2019,Sql Injection,Telecommunications,86.79,293647.0,Nation-State,Social Engineering,Ai-Based Detection,37.0
China,2021,Phishing,Banking,84.49,884734.0,Hacker Group,Weak Passwords,Encryption,6.0
Uk,2023,Ddos,It,52.75,638329.0,Hacker Group,Social Engineering,Antivirus,11.0
India,2019,Ddos,Government,63.63,47191.0,Insider,Unpatched Software,Vpn,28.0
Brazil,2023,Phishing,Retail,42.69,309021.0,Unknown,Unpatched Software,Encryption,2.0
Germany,2018,Ddos,Telecommunications,15.14,834902.0,Nation-State,Weak Passwords,Firewall,63.0
France,2016,Ddos,Banking,25.81,132286.0,Insider,Unpatched Software,Antivirus,66.0
France,2023,Sql Injection,Banking,46.58,659062.0,Unknown,Unpatched Software,Antivirus,42.0
France,2020,Malware,Telecommunications,93.88,69492.0,Hacker Group,Social Engineering,Encryption,29.0
Russia,2017,Phishing,It,53.07,388154.0,Nation-State,Zero-Day,Ai-Based Detection,29.0
Brazil,2024,Ddos,Government,24.23,889448.0,Hacker Group,Zero-Day,Vpn,20.0
Uk,2022,Phishing,Retail,49.08,445458.0,Hacker Group,Unpatched Software,Antivirus,36.0
Uk,2019,Phishing,Banking,84.5,828382.0,Hacker Group,Weak Passwords,Ai-Based Detection,4.0
Russia,2024,Sql Injection,Education,99.31,362492.0,Insider,Weak Passwords,Ai-Based Detection,63.0
Japan,2021,Man-In-The-Middle,Healthcare,55.4,68886.0,Hacker Group,Weak Passwords,Ai-Based Detection,36.0
Japan,2017,Ddos,Education,7.84,165722.0,Unknown,Unpatched Software,Encryption,23.0
India,2020,Sql Injection,Government,99.72,604113.0,Insider,Weak Passwords,Encryption,7.0
France,2022,Man-In-The-Middle,Healthcare,39.48,450466.0,Unknown,Unpatched Software,Vpn,52.0
Australia,2019,Phishing,Banking,1.13,507976.0,Hacker Group,Zero-Day,Ai-Based Detection,70.0
India,2018,Ddos,Banking,43.45,180980.0,Hacker Group,Unpatched Software,Ai-Based Detection,15.0
France,2020,Ransomware,Healthcare,37.36,745273.0,Insider,Zero-Day,Firewall,67.0
Germany,2023,Sql Injection,Telecommunications,94.14,536737.0,Unknown,Unpatched Software,Encryption,44.0
Germany,2020,Sql Injection,Banking,65.24,202102.0,Insider,Unpatched Software,Antivirus,54.0
Brazil,2021,Ddos,Education,80.79,134998.0,Unknown,Zero-Day,Ai-Based Detection,42.0
India,2015,Ransomware,Banking,81.81,41635.0,Nation-State,Unpatched Software,Encryption,37.0
Japan,2022,Phishing,Telecommunications,35.54,604908.0,Unknown,Zero-Day,Antivirus,36.0
France,2020,Man-In-The-Middle,It,88.42,688016.0,Nation-State,Zero-Day,Antivirus,26.0
Brazil,2020,Ransomware,It,56.59,679131.0,Hacker Group,Weak Passwords,Ai-Based Detection,55.0
India,2015,Ddos,Retail,39.28,585934.0,Insider,Unpatched Software,Antivirus,13.0
Usa,2023,Man-In-The-Middle,It,88.81,762605.0,Nation-State,Unpatched Software,Encryption,53.0
Uk,2021,Malware,Healthcare,58.9,984973.0,Unknown,Zero-Day,Encryption,30.0
Russia,2020,Phishing,Education,9.52,889970.0,Nation-State,Unpatched Software,Vpn,20.0
Usa,2020,Phishing,Healthcare,39.92,376443.0,Insider,Zero-Day,Antivirus,20.0
Uk,2023,Phishing,Banking,28.54,699386.0,Nation-State,Weak Passwords,Antivirus,20.0
Russia,2020,Man-In-The-Middle,Retail,74.11,158758.0,Nation-State,Zero-Day,Antivirus,36.0
China,2021,Man-In-The-Middle,Banking,85.26,812101.0,Unknown,Social Engineering,Vpn,52.0
Uk,2020,Phishing,Telecommunications,43.72,402744.0,Insider,Zero-Day,Ai-Based Detection,65.0
Japan,2022,Malware,Healthcare,77.01,182338.0,Unknown,Social Engineering,Firewall,72.0
Germany,2017,Man-In-The-Middle,Banking,88.03,587213.0,Unknown,Weak Passwords,Ai-Based Detection,32.0
France,2024,Ddos,Government,86.65,419571.0,Nation-State,Zero-Day,Ai-Based Detection,72.0
Germany,2017,Sql Injection,It,33.79,772541.0,Nation-State,Unpatched Software,Antivirus,46.0
